EMPLOYEE_ID,FIRST_NAME,LAST_NAME,EMAIL,PHONE_NUMBER,HIRE_DATE,JOB_ID,SALARY,COMMISSION_PCT,MANAGER_ID,DEPARTMENT_ID
100,Steven,King,SKING,777.123.4567,1987-06-17,AD_PRES,24000.00,0.00,0,90
101,Neena,Kochhar,NKOCHHAR,777.123.4568,1987-06-18,AD_VP,17000.00,0.00,100,90
102,Lex,"De Haan",LDEHAAN,777.123.4569,1987-06-19,AD_VP,17000.00,0.00,100,90
108,Nancy,Greenberg,NGREENBE,777.124.4569,1987-06-25,FI_MGR,12000.00,0.00,101,100
109,Daniel,Faviet,DFAVIET,777.124.4169,1987-06-26,FI_ACCOUNT,9000.00,0.00,108,100
110,John,Chen,JCHEN,777.124.4269,1987-06-27,FI_ACCOUNT,8200.00,0.00,108,100
111,Ismael,Sciarra,ISCIARRA,777.124.4369,1987-06-28,FI_ACCOUNT,7700.00,0.00,108,100
112,"Jose Manuel",Urman,JMURMAN,777.124.4469,1987-06-29,FI_ACCOUNT,7800.00,0.00,108,100
113,Luis,Popp,LPOPP,777.124.4567,1987-06-30,FI_ACCOUNT,6900.00,0.00,108,100
114,Den,Raphaely,DRAPHEAL,777.127.4561,1987-07-01,PU_MAN,11000.00,0.00,100,30
115,Alexander,Khoo,AKHOO,777.127.4562,1987-07-02,PU_CLERK,3100.00,0.00,114,30
116,Shelli,Baida,SBAIDA,777.127.4563,1987-07-03,PU_CLERK,2900.00,0.00,114,30
117,Sigal,Tobias,STOBIAS,777.127.4564,1987-07-04,PU_CLERK,2800.00,0.00,114,30
118,Guy,Himuro,GHIMURO,777.127.4565,1987-07-05,PU_CLERK,2600.00,0.00,114,30
119,Karen,Colmenares,KCOLMENA,777.127.4566,1987-07-06,PU_CLERK,2500.00,0.00,114,30
200,Jennifer,Whalen,JWHALEN,777.123.4444,1987-09-25,AD_ASST,4400.00,0.00,101,10
201,Michael,Hartstein,MHARTSTE,777.123.5555,1987-09-26,MK_MAN,13000.00,0.00,100,20
203,Susan,Mavris,SMAVRIS,777.123.7777,1987-09-28,HR_REP,6500.00,0.00,101,40
204,Hermann,Baer,HBAER,777.123.8888,1987-09-29,PR_REP,10000.00,0.00,101,70
205,Shelley,Higgins,SHIGGINS,777.123.8080,1987-09-30,AC_MGR,12000.00,0.00,101,110
206,William,Gietz,WGIETZ,777.123.8181,1987-10-01,AC_ACCOUNT,8300.00,0.00,205,110
