EMPLOYEE_ID,FIRST_NAME,DAY(HIRE_DATE)
100,Steven,17
101,Neena,18
102,Lex,19
103,Alexander,20
104,Bruce,21
105,David,22
106,Valli,23
107,Diana,24
108,Nancy,25
109,Daniel,26
110,John,27
111,Ismael,28
112,"Jose Manuel",29
113,Luis,30
114,Den,1
115,Alexander,2
116,Shelli,3
117,Sigal,4
118,Guy,5
119,Karen,6
120,Matthew,7
121,Adam,8
122,Payam,9
123,Shanta,10
124,Kevin,11
125,Julia,12
126,Irene,13
127,James,14
128,Steven,15
129,Laura,16
130,Mozhe,17
131,James,18
132,TJ,19
133,Jason,20
134,Michael,21
135,Ki,22
136,Hazel,23
137,Renske,24
138,Stephen,25
139,John,26
140,Joshua,27
141,Trenna,28
142,Curtis,29
143,Randall,30
144,Peter,31
145,John,1
146,Karen,2
147,Alberto,3
148,Gerald,4
149,Eleni,5
150,Peter,6
151,David,7
152,Peter,8
153,Christopher,9
154,Nanette,10
155,Oliver,11
156,Janette,12
157,Patrick,13
158,Allan,14
159,Lindsey,15
160,Louise,16
161,Sarath,17
162,Clara,18
163,Danielle,19
164,Mattea,20
165,David,21
166,Sundar,22
167,Amit,23
168,Lisa,24
169,Harrison,25
170,Tayler,26
171,William,27
172,Elizabeth,28
173,Sundita,29
174,Ellen,30
175,Alyssa,31
176,Jonathon,1
177,Jack,2
178,Kimberely,3
179,Charles,4
180,Winston,5
181,Jean,6
182,Martha,7
183,Girard,8
184,Nandita,9
185,Alexis,10
186,Julia,11
187,Anthony,12
188,Kelly,13
189,Jennifer,14
190,Timothy,15
191,Randall,16
192,Sarah,17
193,Britney,18
194,Samuel,19
195,Vance,20
196,Alana,21
197,Kevin,22
198,Donald,23
199,Douglas,24
200,Jennifer,25
201,Michael,26
202,Pat,27
203,Susan,28
204,Hermann,29
205,Shelley,30
206,William,1
