LAST_NAME,HIRE_DATE
Raphaely,1987-07-01
Khoo,1987-07-02
Baida,1987-07-03
Tobias,1987-07-04
Himuro,1987-07-05
Colmenares,1987-07-06
Weiss,1987-07-07
Fripp,1987-07-08
Kaufling,1987-07-09
Vollman,1987-07-10
Mourgos,1987-07-11
Nayer,1987-07-12
Mikkilineni,1987-07-13
Landry,1987-07-14
Markle,1987-07-15
Bissot,1987-07-16
Atkinson,1987-07-17
Marlow,1987-07-18
Olson,1987-07-19
Mallin,1987-07-20
Rogers,1987-07-21
Gee,1987-07-22
Philtanker,1987-07-23
Ladwig,1987-07-24
Stiles,1987-07-25
Seo,1987-07-26
Patel,1987-07-27
Rajs,1987-07-28
Davies,1987-07-29
Matos,1987-07-30
Vargas,1987-07-31
