FIRST_NAME,LAST_NAME,DAY(HIRE_DATE)
Steven,King,17
Neena,Kochhar,18
Lex,"De Haan",19
Alexander,Hunold,20
Bruce,Ernst,21
David,Austin,22
Valli,Pataballa,23
Diana,Lorentz,24
Nancy,Greenberg,25
Daniel,Faviet,26
John,Chen,27
Ismael,Sciarra,28
"Jose Manuel",Urman,29
Luis,Popp,30
Den,Raphaely,1
Alexander,Khoo,2
Shelli,Baida,3
Sigal,Tobias,4
Guy,Himuro,5
Karen,Colmenares,6
Matthew,Weiss,7
Adam,Fripp,8
Payam,Kaufling,9
Shanta,Vollman,10
Kevin,Mourgos,11
Julia,Nayer,12
Irene,Mikkilineni,13
James,Landry,14
Steven,Markle,15
Laura,Bissot,16
Mozhe,Atkinson,17
James,Marlow,18
TJ,Olson,19
Jason,Mallin,20
Michael,Rogers,21
Ki,Gee,22
Hazel,Philtanker,23
Renske,Ladwig,24
Stephen,Stiles,25
John,Seo,26
Joshua,Patel,27
Trenna,Rajs,28
Curtis,Davies,29
Randall,Matos,30
Peter,Vargas,31
John,Russell,1
Karen,Partners,2
Alberto,Errazuriz,3
Gerald,Cambrault,4
Eleni,Zlotkey,5
Peter,Tucker,6
David,Bernstein,7
Peter,Hall,8
Christopher,Olsen,9
Nanette,Cambrault,10
Oliver,Tuvault,11
Janette,King,12
Patrick,Sully,13
Allan,McEwen,14
Lindsey,Smith,15
Louise,Doran,16
Sarath,Sewall,17
Clara,Vishney,18
Danielle,Greene,19
Mattea,Marvins,20
David,Lee,21
Sundar,Ande,22
Amit,Banda,23
Lisa,Ozer,24
Harrison,Bloom,25
Tayler,Fox,26
William,Smith,27
Elizabeth,Bates,28
Sundita,Kumar,29
Ellen,Abel,30
Alyssa,Hutton,31
Jonathon,Taylor,1
Jack,Livingston,2
Kimberely,Grant,3
Charles,Johnson,4
Winston,Taylor,5
Jean,Fleaur,6
Martha,Sullivan,7
Girard,Geoni,8
Nandita,Sarchand,9
Alexis,Bull,10
Julia,Dellinger,11
Anthony,Cabrio,12
Kelly,Chung,13
Jennifer,Dilly,14
Timothy,Gates,15
Randall,Perkins,16
Sarah,Bell,17
Britney,Everett,18
Samuel,McCain,19
Vance,Jones,20
Alana,Walsh,21
Kevin,Feeney,22
Donald,OConnell,23
Douglas,Grant,24
Jennifer,Whalen,25
Michael,Hartstein,26
Pat,Fay,27
Susan,Mavris,28
Hermann,Baer,29
Shelley,Higgins,30
William,Gietz,1
